title,subtitle,author,publisher,genre,width,color,bookcase,compartment
Der Mann der´s wert ist,,Eva Heller,Droemer Knaur,Roman,38,"[0.010174180215839138, 0.29176552915577814, 0.026058694249756716, 0.0006478454355598806, 0.0, 0.6065774079622117, 0.04641525525656866, 0.01836108772428573]",A,4
Der Rheinmann-Tausch,,Robert Ludlum,Kaiser Verlag,Roman,29,"[0.03135152752880478, 0.032419462773094966, 0.14453879413467774, 0.0, 0.0, 1.040196666516416e-05, 0.7916451403745401, 3.4673222217213866e-05]",A,4
Der zweite Körper,,Robert A. Monroe,Heyne,,26,"[4.737674938647109e-06, 0.0838521087391152, 0.0011417796602139535, 0.0014165648066554858, 0.0, 0.5325051877540579, 0.38107488369008025, 4.737674938647109e-06]",A,4
Die Firma,,John Grisham,Heyne,Roman,36,"[0.875297011619061, 0.10925335719480275, 0.0001977284685427412, 7.037792948131466e-05, 0.0, 0.010985659659035689, 0.004195865129076474, 0.0]",A,4
Die Fremde im Spiegel,,Judy Mercer,Knaur,Roman,24,"[0.6289765253393368, 0.31115980859605724, 0.05984083911853748, 8.560104775682455e-06, 0.0, 0.0, 1.426684129280409e-05, 0.0]",A,4
Die zärtliche Versuchung,,Barbara Cartland,Erich Papel Verlag,,11,"[0.02156899158995039, 0.9755922850396626, 0.0, 0.0, 0.0, 0.0, 0.000291831374525774, 0.0025468919958613005]",A,4
E M Mungenast,,Christoph Gardar,Bertelsmann,Roman,35,"[0.7154667810684447, 0.230260239807456, 0.0006180604535836599, 0.0019305300050171967, 0.0, 0.007093152617304238, 0.044631236048194176, 0.0]",A,4
Ein Schloß für dieKopcheks,,Stagg,Ravensburger,,11,"[0.021324067300658375, 0.1091441111923921, 0.05366495976591076, 0.7559180687637161, 0.0, 0.00401609363569861, 0.055932699341623995, 0.0]",A,4
Erfülltes Glück,,LaVyrle Spencer,Heyne,Roman,21,"[0.0018927285839807767, 0.09966585939640539, 0.06362528383055513, 0.0, 0.0, 0.019516204717019755, 0.8062771823853419, 0.009022741086697046]",A,4
Grundlagen der Programmierung,3. Auflage,,RRZN Hannover,IT,9,"[0.0, 0.889646000886581, 0.0, 0.0, 0.02035336584130201, 0.09000063327211703, 0.0, 0.0]",A,4
HTML 4,Das Einsteigerseminar,Thomas Kobert,bhv,IT,24,"[0.004013305928724097, 0.048605594025658505, 0.8794931855808017, 0.004459228809693441, 0.010738027995756044, 0.016253120178779196, 0.03463334375528573, 0.0018041937253012543]",A,4
Ich bin die Nacht,,Ethan Cross,Bastei Lübbe,Thriller,33,"[0.8698623776535482, 0.12098137176606058, 0.0, 0.0, 0.0, 6.314655572683543e-05, 0.009093104024664301, 0.0]",A,4
Inroduction to Computer Graphics,2nd Ed.,Klawonn,Springer,IT,15,"[0.004995917575444014, 0.05299067913759792, 0.28018366868497424, 0.1692063928343344, 0.0, 0.49262334176764944, 0.0, 0.0]",A,4
Irische Freundschaften,,Binchy,Knaur,Roman,41,"[0.0017980822450597617, 0.9337581714012176, 0.007551347065775105, 0.0, 0.0, 0.04414127361665844, 0.011359930589836796, 0.0013911950814522282]",A,4
Lauf um dein Leben,,Peter-Paul Zahl,Das neue Berlin,Roman,22,"[0.005285464155389373, 0.0024272771405038918, 0.0, 0.16953303551461002, 0.08220560401018912, 0.7405486191793076, 0.0, 0.0]",A,4
Lippenstift und Ladyshave,,Rossana Campo,Goldmann,Roman,14,"[0.00048299541154359034, 0.07251231113304424, 0.9059628933525131, 0.008315920998750512, 0.0, 0.0, 0.010793897457974148, 0.0019319816461743613]",A,4
Mein Herz blieb in Afrika,,Miriam Mathabane,List,Erzählungen,29,"[0.1924966001663608, 0.07799152352156749, 0.7014682000026407, 0.02804367630943107, 0.0, 0.0, 0.0, 0.0]",A,4
Mobile HCI 09,The 11th International Conference on Human-Computer Interaction with Mobile Devies and Services,,acm,IT,12,"[0.0, 0.5018784793001636, 0.0, 1.828203698456082e-05, 0.025448595482508662, 0.47265464318034317, 0.0, 0.0]",A,4
Old Surehand,Band 3,Karl May,Manfred Pawlak Verlagsgesellschaft,Erzählungen,21,"[0.0004353363436378372, 0.562797267569758, 0.4305198564316314, 0.006247539654972791, 0.0, 0.0, 0.0, 0.0]",A,4
Pervasive Games,Theory and Design,"Montola, Stenros, Waern",Morgan Kaufmann,IT,17,"[0.02484248870936766, 0.8616254793485196, 0.09712112107151044, 0.00031595185141589793, 0.0, 0.004336594039041737, 0.011758364980144594, 0.0]",A,4
Sepp und seine Freunde,,Höfling,Fischer,Kinder,16,"[0.00012084665164139964, 0.7826935510184352, 0.06697925667224576, 0.12835727104091263, 0.0011178315276829467, 0.02025389881509858, 0.0004773442739835286, 0.0]",A,4
Sommerprickeln,,Mary Kay Andrews,Fischer,Roman,38,"[0.000542807463264773, 0.9496517923907853, 0.04978287701469409, 1.8018505004639766e-05, 4.5046262511599415e-06, 0.0, 0.0, 0.0]",A,4
Sprechen Sie Java?,4. Auflage,Hanspeter Mössenböck,dpunkt.verlag,IT,21,"[0.21116827319877476, 0.1458449685396728, 0.5281789607513119, 0.0017774465384109532, 0.0018250992606203623, 0.11120525171120925, 0.0, 0.0]",A,4
Sturmläuten über Abendland,,Ingeborg Engelhardt,dtv junior,Roman,12,"[0.08688971724702246, 0.8823347577052459, 0.03043913083007546, 0.00033639421765615054, 0.0, 0.0, 0.0, 0.0]",A,4
Trüffelträume,,Peter Mayle,Knaur,Roman,29,"[0.004150399212127607, 0.15962769512152228, 0.3326870317611058, 0.0020971826527382085, 0.0, 0.026067496746509093, 0.47428862860961624, 0.0010815658963807112]",A,4
Weiße mit Schuss,,Georg Lentz,Melzer,Roman,41,"[0.026415842131701315, 2.9955159430575462e-05, 0.973554202708868, 0.0, 0.0, 0.0, 0.0, 0.0]",A,4
Zur dunkelsten Stunde,,Ed O´Connor,Bastei Lübbe,Thriller,26,"[0.26940446188454575, 0.072296737310353, 0.0007442112206755408, 0.001789489707897096, 3.382778275797913e-05, 0.031727077448708625, 0.6239263907447187, 7.7803900343352e-05]",A,4
Beginning Android Games,Second Edition,"Zechner, Green",Apress,IT,42,"[0.6900500148622976, 0.09814027424169973, 0.2118097108960027, 0.0, 0.0, 0.0, 0.0, 0.0]",B,1
Beim nächsten Mann wird alles anders,,Eva Heller,Fischer,Roman,20,"[0.04380561259411362, 0.9561748313288354, 6.5186923503145266e-06, 0.0, 0.0, 0.0, 1.3037384700629053e-05, 0.0]",B,1
Betty und ihre Schwestern,,Louisa May Alcott,rororo,Roman,21,"[0.6213938450919967, 0.24940515472031677, 0.008028140873892801, 0.12084592145015106, 0.00029061143434906065, 3.632642929363258e-05, 0.0, 0.0]",B,1
Bleiben Sie neugierig,,Vince Ebert,rororo,Wissen,16,"[0.013520927052826143, 0.9464817737565727, 0.0, 2.5320088113906635e-05, 0.0, 8.440029371302212e-06, 0.039955099043744675, 8.440029371302212e-06]",B,1
Briefe in die chinesische Vergangenheit,,H. Rosendorfer,dtv,Roman,14,"[0.0761273621537665, 0.9215739062904479, 0.0018327724566399172, 0.00046595909914574164, 0.0, 0.0, 0.0, 0.0]",B,1
Control Theory for Humans,,"Jagacinski, Flach",CRC,Technik,23,"[0.00893318936183727, 0.8214995417713938, 0.1687869191612148, 0.0007803497055540936, 0.0, 0.0, 0.0, 0.0]",B,1
Crowd Simulation,,"Thalmann, Musse",Springer,IT,17,"[0.03807942109789733, 0.23848572021708828, 0.1300602034461283, 0.0, 0.0, 0.006643138883122276, 0.5864794329606453, 0.0002520833951184792]",B,1
Das Gold der schwarzen Berge,,G. F. Unger,Zauberkreis-Verlag,Roman,10,"[0.13003866095243805, 0.8690622471303983, 8.990919171636647e-05, 0.0008091827254472982, 0.0, 0.0, 0.0, 0.0]",B,1
Das Kind der Rache,,John Saul,Heyne,Roman,22,"[0.08298442685728874, 0.87387030890988, 0.028669900434005618, 0.014475363798825632, 0.0, 0.0, 0.0, 0.0]",B,1
Die Kunst des Liebens,,Erich Fromm,Ullstein,Wissenschaft,13,"[0.18648933202552034, 0.21405239050815733, 0.5994402800399543, 0.0, 0.0, 0.0, 0.0, 1.799742636802937e-05]",B,1
Die schweigende Welt des Nicholas Quinn,,Colin Dexter,rororo,Roman,15,"[0.0, 0.119806301616055, 0.880193698383945, 0.0, 0.0, 0.0, 0.0, 0.0]",B,1
Die sieben Wege zur Effektivität,,S. R. Covey,Campus Verlag,Ratgeber,16,"[0.028760510058841657, 0.8151697016830768, 0.0, 0.0, 0.0, 0.0, 0.15606978825808154, 0.0]",B,1
Die Straßen von London,,Maeve Binchy,Knaur,Roman,24,"[0.020361058445305415, 0.8804420787357067, 0.0981664448814725, 0.0010304179375154562, 0.0, 0.0, 0.0, 0.0]",B,1
Die Traummalerin,,Katherine Scholes,Knaur,Roman,35,"[0.0, 0.02527833355409466, 0.9729439568330277, 0.001777709612877589, 0.0, 0.0, 0.0, 0.0]",B,1
Ein Sturmwind auf Jamaika,,Hughes,suhrkamp,Roman,16,"[0.04115747101501675, 0.00984645792657941, 0.0, 1.2051968086388507e-05, 0.3207571046351869, 0.6282269144551306, 0.0, 0.0]",B,1
Emotional Design,,Norman,Basic Books,Wissenschaft,18,"[0.08825196745364812, 0.8872382286247833, 0.01777377617713752, 0.0005668934240362812, 0.0, 0.0, 0.006169134320394825, 0.0]",B,1
Entschlüsselt,Akte X,Ted Edwards,Heyne,,30,"[0.8405335040546308, 0.04347417840375587, 0.02924029022620572, 0.06634656423388818, 0.0, 0.00012804097311139564, 0.01997439180537772, 0.00030303030303030303]",B,1
Fasten verändert mein Leben,,Niggemeyer/Lützner,Kösel,Ratgeber,16,"[0.002460852464533227, 0.5781425822124536, 0.00414348662831663, 0.3686546288214199, 0.0, 1.0516463523646268e-05, 0.046587933409752966, 0.0]",B,1
Festung Breslau,,Paul Peikert,Verlag Ossolineum,Geschichte,14,"[0.9161688583094878, 0.043487766453396776, 0.0021219818023984825, 0.03822139343471691, 0.0, 0.0, 0.0, 0.0]",B,1
Geheimnis des roten Leuchtturms,,Backhaus,Ravensburger,Kinder,10,"[0.030551734678282132, 0.1065719089102858, 0.8000305670181874, 0.0, 0.0, 0.0, 0.0624484181568088, 0.00039737123643588567]",B,1
Grand-Prix Angriff,,Ken Smith,Rattmann,Sachbuch,10,"[0.07798956017169832, 0.9217488495975078, 0.00023780930072175122, 2.3780930072175122e-05, 0.0, 0.0, 0.0, 0.0]",B,1
Immer wieder Afrika,,Kelly James,Ullstein,Erzählungen,25,"[0.04194227300060132, 0.024093546342494027, 0.9185166826477711, 0.0, 0.0, 0.0, 0.01544343501649575, 4.06299263785734e-06]",B,1
In einem Schloß zu wohnen,,Willi Heinrich,Mohndruck,Roman,31,"[0.7164164007222225, 0.21692468756796124, 0.05755020913095593, 0.0006524278915452426, 0.0, 0.00427365556864907, 0.004182619118666012, 0.0]",B,1
Jenseits der Prärie,,Jutta Besser,Karl Müller,Roman,24,"[0.7899697935200893, 0.09926345843505607, 0.0865022551413084, 0.006794389042909753, 0.015293582157487483, 0.0005544751106881284, 0.0016220465924607936, 0.0]",B,1
Konfliktbewältigung,Heft 38,,FH,Sachbuch,18,"[0.06262830220427394, 0.0049133434292444895, 0.02017163048965169, 0.0, 0.0, 0.8661214874642437, 0.04513545347467609, 0.0010297829379101464]",B,1
Königsjagd,,Jack Higgins,Knaur,Roman,11,"[0.16389160953313744, 0.2156839699640875, 0.044205027750571335, 0.12743062357166177, 0.0, 0.0010839046686255305, 0.44770486451191643, 0.0]",B,1
Learning Libgdx Game Development,,Andreas Oehlke,Packt,IT,24,"[0.8115060543496456, 0.08536353998102784, 0.10313040566932649, 0.0, 0.0, 0.0, 0.0, 0.0]",B,1
Liebeskind,,Christine Westendorf,RM Buch und Medien Vertrieb,Roman,31,"[0.6253430167844036, 0.026162950881098535, 0.18625949150861262, 0.16223454082588523, 0.0, 0.0, 0.0, 0.0]",B,1
Make Your Own PCBs with EAGLE,,Monk,Mc Graw Hill,IT,14,"[0.01694591399261975, 0.15486582991986816, 0.03700872971326893, 0.0021854138552849993, 0.06658944074901178, 0.004394712014999343, 0.7164216535103957, 0.001588306244551393]",B,1
Make: More Electronics,,Platt,MakerMedia,Technik,17,"[0.0057012117406414955, 0.6201264587206158, 0.044154859086189636, 0.0, 0.0, 0.3267720696579895, 0.0032454007945636426, 0.0]",B,1
Man wettet nicht um Liebe,,Christine Weyden,kelter,Roman,10,"[0.09309692123459652, 0.905010236798393, 3.8629427898172826e-05, 0.001815583111214123, 0.0, 3.8629427898172826e-05, 0.0, 0.0]",B,1
Mit Fünfen ist man kinderreich,,Evelyn Sanders,Heyne,Roman,20,"[0.038905597250281095, 0.871079502344757, 0.025220992202426115, 0.0, 0.0, 0.06194180614847385, 0.0028521020540619602, 0.0]",B,1
Mord hat keine Tränen,,Ann Granger,Bastei Lübbe,Krimi,27,"[0.0, 0.8719935793988454, 0.019175505061401314, 0.0, 0.0, 0.0, 0.10883091553975335, 0.0]",B,1
Mörder ohne Gesicht,,Henning Mankel,dtv,Roman,20,"[0.7752596789423984, 0.18134273658352978, 0.038306358419672865, 0.0027338100992491928, 0.0007461848821622192, 0.001611231072987447, 0.0, 0.0]",B,1
Nach Norden zu,Das Reiselesebuch,Theodor Geus,Societäts-Verlag,Geschichten,25,"[0.13541760972125821, 0.8637172948667653, 0.0007142066773294706, 0.0001307702366941284, 0.0, 0.0, 2.0118497952942832e-05, 0.0]",B,1
Programmieren mit Java,it,Schiedermeier,Pearson Studium,IT,29,"[0.0005631550438917023, 0.8177613082392592, 0.04780799422228718, 0.0, 0.0, 5.1586721577865856e-05, 0.13381595577298402, 0.0]",B,1
Stupid White Men,,Michael Moore,Piper,,21,"[0.020837154183654755, 0.031037061072471537, 0.9481257847438737, 0.0, 0.0, 0.0, 0.0, 0.0]",B,1
Tierische Geschäfte,,"Wolf-Michael Eimler, Nina Kleinschmidt",Droemer Knaur,Dokumentation,26,"[0.03481822206916908, 0.7521523097358194, 0.21302536855741952, 4.099637592036864e-06, 0.0, 0.0, 0.0, 0.0]",B,1
Totenstille im Watt,,Klaus-Peter Wolf,Fischer,Roman,32,"[0.19754386300766705, 0.0694916389880639, 0.0015219243249452012, 0.07138686550592019, 0.00021058072420625424, 0.0002871555330085285, 0.6595579719161889, 0.0]",B,1
Untergehen werden wir nicht,,"Bettina Haskamp, Gerhard Ebel",Hoffmann und Campe,,30,"[0.01735967757790229, 0.5231298535338641, 0.0, 0.0, 0.0, 3.931976801336872e-05, 0.4594711491202202, 0.0]",B,1
Wer aber Gewalt sät,,Wilbur Smith,Goldmann,Roman,28,"[0.8536722851616468, 0.13389334070185133, 0.012268582481348439, 0.0, 0.0, 3.315833103067146e-05, 0.00013263332412268583, 0.0]",B,1
Zwei an einem Tag,,David Nicholas,Heyne,Roman,41,"[0.04441570235425238, 0.8769028257449629, 0.07862414060385908, 5.733129692566653e-05, 0.0, 0.0, 0.0, 0.0]",B,1
100 Jahre nach dem ersten Weltkrieg,Band 23,,Volksbund Forum,Geschichte,12,"[0.06232542967236845, 0.9364309160227527, 0.0012334604171338865, 1.0193887744908154e-05, 0.0, 0.0, 0.0, 0.0]",B,2
"Alf – Was wäre, wenn…",,Peter Mennigen,Bastei Lübbe,Cartoon,12,"[0.04974188855972042, 0.1336236717461106, 0.00023948484149651417, 0.515610863741995, 0.2399549413705629, 0.0608291497401146, 0.0, 0.0]",B,2
Alles über den blauen Dunst,,Lothar Schuh,Schangrila,Sachbuch,18,"[0.1617366272067679, 0.8250056301344378, 0.0, 9.791538152728412e-06, 8.812384337455571e-05, 0.013022745743128788, 0.00013708153413819778, 0.0]",B,2
An Introduction to Computer Graphics for Artists,2nd Ed.,Paquette,Springer,IT,20,"[0.08590834907800554, 0.5106759035410275, 0.0, 0.0, 0.0, 6.771902024121515e-06, 0.4034089754789428, 0.0]",B,2
"Armer, armer Millionär",,Lang,dtv junior,Kinder,10,"[0.05316678677235968, 0.9049403475058051, 0.041796781167427334, 9.608455440787894e-05, 0.0, 0.0, 0.0, 0.0]",B,2
Aus badischen Küchen,Essen & Genießen,Veronika Müller,blv,Kochbuch,10,"[0.005278464446706412, 0.5061800203577141, 0.4885415151955795, 0.0, 0.0, 0.0, 0.0, 0.0]",B,2
Birdy,,William Wharton,Goldmann,Roman,20,"[0.0249247847287063, 0.9390367258014317, 0.02339454300238614, 3.2420375557630457e-05, 0.008565463222325967, 0.0040460628695922814, 0.0, 0.0]",B,2
Bridie und Finn,,Cauley,Knaur,Roman,25,"[0.0048422016497629335, 0.15700683650585487, 0.8380888823360519, 0.0, 0.0, 0.0, 0.0, 6.207950833029402e-05]",B,2
C Ein Nachschlagewerk,13. Auflage,,RRZN Hannover,IT,8,"[0.11132320264849307, 0.8753001178102211, 0.0005666820764424295, 0.006233502840866725, 0.006576494623976617, 0.0, 0.0, 0.0]",B,2
Casa Rossa,,Francesca Marciano,Goldmann,Roman,33,"[0.0, 0.027719378264928696, 0.09911129798955223, 0.873169323745519, 0.0, 0.0, 0.0, 0.0]",B,2
Das Blut an euren Händen,,Liad Shoham,Dumont,Roman,26,"[0.04607247469620951, 0.8816050868594298, 0.07194904440126447, 0.00032989182448304864, 0.0, 0.0, 4.350221861314927e-05, 0.0]",B,2
Das große Lalula,,Elisabeth Borchers,Ellermann,Kinder,17,"[0.015280574053998245, 0.14227969645346136, 0.8424397294925404, 0.0, 0.0, 0.0, 0.0, 0.0]",B,2
Das große Versprechen,,Catherine Gaskin,Scherz Verlag,Roman,33,"[0.0, 0.8613285484889717, 0.13390127173369953, 0.0, 0.0, 3.142410920506431e-06, 0.004767037366408255, 0.0]",B,2
Das Haus oder Balsers Aufstieg,,Rudolf Hagelstange,Ullstein,Roman,19,"[0.058523261238480936, 0.9317408912357089, 0.009600627421284997, 0.0001352201045251408, 0.0, 0.0, 0.0, 0.0]",B,2
Der Münchner im Himmel,,Thoma,dtv,,9,"[0.08207005701428217, 0.8975268386629293, 0.011803291192342162, 0.00859981313044639, 0.0, 0.0, 0.0, 0.0]",B,2
Der verbotene Turm,,Marion Zimmer Bradley,Moewig,Science Fiction,23,"[0.07308360969480927, 0.9259302546421423, 0.000730470861517334, 0.00025566480153106695, 0.0, 0.0, 0.0, 0.0]",B,2
Die endlose Steppe,,Esther Hautzig,Büchergilde Gutenberg,Roman,22,"[0.26547231270358307, 0.6624716217550094, 0.06750849584725806, 0.0038777726074143014, 0.0, 0.00020446437384548133, 0.00033137329554267664, 0.0001339594173470395]",B,2
Die Liebe auf den ersten Blick,,Frank Wedekind,dtv,Erzählungen,10,"[0.09888357256778309, 0.8904921573798491, 0.01061171181353527, 1.2558238832586118e-05, 0.0, 0.0, 0.0, 0.0]",B,2
Die Modemacher,,Rudolf Kinzel,Heyne,Sachbuch,24,"[0.05924923184412986, 0.9043080245492294, 0.03459678763963764, 0.0018459559670030408, 0.0, 0.0, 0.0, 0.0]",B,2
Die Ordenburg des Wüstenplaneten,,Frank Herbert,Heyne,Science Fiction,31,"[0.7551758120309452, 0.24026380781768056, 0.0009455906350618624, 0.0005984750854821914, 3.9898339032146095e-06, 0.000490749570095397, 0.002521575026831633, 0.0]",B,2
Die Scheune im Schatten,,Jane Smiley,Fischer,Roman,13,"[0.7612552474021058, 0.10939370999931182, 2.064551648200399e-05, 3.440919413667332e-05, 0.0, 0.05854380290413599, 0.07075218498382768, 0.0]",B,2
Die weiße Löwin,,Henning Mankel,dtv,Thriller,28,"[0.03923599035609758, 0.8717962745151673, 0.03097537053608062, 0.001133197610125316, 3.907577965949366e-05, 0.00046890935591392387, 0.056347274268989854, 3.907577965949366e-06]",B,2
Dunkle Ernte,,Mary Logue,Fischer,Roman,24,"[0.8889000137010845, 0.04650991220766628, 0.00025821274622429727, 1.5808943646385548e-05, 0.0, 0.0005164254924485945, 0.06378381796528355, 1.5808943646385548e-05]",B,2
Gespensterburg,,Lengstrand,Schneider-Buch,,12,"[0.09050541031803155, 0.8178302611835604, 0.086162516926305, 0.00550181157210301, 0.0, 0.0, 0.0, 0.0]",B,2
Im Angesicht des Feindes,,Elizabeth George,Blanvalet,Roman,46,"[0.3439009620594355, 0.5457831928717451, 0.053537036784089824, 0.0, 0.0, 6.829574790673533e-06, 0.056746936935706385, 2.504177423246962e-05]",B,2
International Symposium on Distributed Objects and Applications,DOA´00,,IEEE Computer Society,IT,18,"[0.0, 0.9730495413822525, 0.02693712670648464, 1.3331911262798635e-05, 0.0, 0.0, 0.0, 0.0]",B,2
kein winter für wölfe,,Lütgen,Georg Westermann Verlag,Jugend,29,"[0.6623720336155082, 0.27034708664316703, 0.026676843885805466, 0.014993498598075278, 3.835635353818183e-06, 0.008254287281416731, 0.01735241434067346, 0.0]",B,2
Lieber Arm ab als arm dran,,Rainer Schmidt,Gütersloher Verlagshaus,Bibliographie,17,"[0.0, 0.0036186665081849216, 0.9962360585590048, 0.00014527493281034357, 0.0, 0.0, 0.0, 0.0]",B,2
Long Tunnel,,Alan Dean Foster,Heyne,Roman,22,"[0.7260830898234024, 0.10270015768980696, 0.05775482598070355, 0.11117505063262759, 0.0, 0.001061229980494294, 0.001225645892965241, 0.0]",B,2
Moby Dick,,Melville,Tosa Verlag,Jugend,36,"[0.0, 0.2014553172136739, 0.0, 0.07456226786932464, 0.007056772530887592, 0.5501023269915865, 0.1668233153945274, 0.0]",B,2
"Natalia, ein Mädchen aus der Taiga",,Konsalik,Bastei Lübbe,Roman,18,"[0.11581132622024816, 0.8826534060734804, 0.0, 0.0015352677062714238, 0.0, 0.0, 0.0, 0.0]",B,2
Notwehr,,Marc Olden,Heyne,Roman,15,"[0.6678643885507565, 0.14608540490332672, 0.14428882207719196, 2.4443303756935786e-05, 0.0, 0.0, 0.04173694116496786, 0.0]",B,2
Pervasive Computing,Handbook,"Hansmann, Merk, Nicklous, Stober",Springer,IT,21,"[0.0, 0.6753065880529558, 0.0030401395971408596, 0.0, 0.0, 0.32165327234990326, 0.0, 0.0]",B,2
Reisende der Nacht,,Marisa Silver,Goldmann,,20,"[0.001725914250239955, 0.20630839269832604, 0.05054463161417011, 0.0012063788381779276, 0.0, 0.030370807393253083, 0.7098438752058329, 0.0]",B,2
Roter Drache,,Thomas Harris,Heyne,Roman,30,"[0.822268323935523, 0.11118369339329746, 0.004342972818732928, 0.06219424215124313, 1.0767701203470072e-05, 0.0, 0.0, 0.0]",B,2
Sami und Uri,,Cohen,dtv junior,Kinder,8,"[0.05819774718397998, 0.9417188151856487, 6.257822277847309e-05, 2.0859407592824365e-05, 0.0, 0.0, 0.0, 0.0]",B,2
Sonnenstadt ohne Sterne,,E. Caldwell,rororo,,7,"[0.04887853189630061, 0.8771337023011943, 0.014986891931255462, 0.05850568016312263, 0.0004951937081270027, 0.0, 0.0, 0.0]",B,2
Super-Gruselpack,Band 8,,Cora,,16,"[0.004678206242063757, 0.07353694669072601, 0.09193789124284346, 7.425724193751996e-06, 0.022900933413531156, 0.016544513503679446, 0.7685178997081691, 0.02187618347479338]",B,2
Tante Tilli macht Theater,,Peter Härtling,Beltz & Gelberg,Kinder,12,"[0.02374905621525156, 0.0002402361177843366, 0.9756446335827214, 0.00036607408424279864, 0.0, 0.0, 0.0, 0.0]",B,2
The Art of Electronics,Second Edition,Horowitz and Hill,Cambridge,Wissenschaft,49,"[0.043829750159071285, 0.9191416222895177, 0.03218388376839221, 0.0, 0.0, 0.0003009813576371379, 0.004533201675990928, 1.056074939077677e-05]",B,2
The Psychology of Human of Human-Computer Interaction,,"Card, Moran, Newell",CRC,IT,26,"[0.0871682207464055, 0.9125746293687529, 0.0, 0.0, 0.0, 0.0, 0.0002571498848415733, 0.0]",B,2
Tini findet eine neue Heimat,,K. Theuermeister,Karo Buch,Kinder,17,"[0.0278585878046431, 0.6492117008637575, 0.03903284847317214, 0.28389686285842725, 0.0, 0.0, 0.0, 0.0]",B,2
Visual Texture,,"Haindl, Filip",Springer,IT,19,"[0.0378647591171112, 0.2780009557659568, 7.466921537588483e-06, 0.0, 0.0, 0.11087631791165138, 0.573250500283743, 0.0]",B,2
Zeit des Grauens,,John Saul,Heyne,Roman,28,"[0.1749278465274318, 0.10768484979060905, 0.09478924004326963, 0.00016158787013721503, 8.528248701686348e-05, 0.49441399710039546, 0.12727737904474637, 0.0006598171363936281]",B,2
Aufbruch ins Abenteuer,,R. Messner,Bastei Lübbe,Erzählungen,14,"[0.03656461558883512, 0.11915479020599273, 0.011440018342645445, 0.08179371764393546, 0.0026186539877152545, 0.015120614961323567, 0.7333075892695524, 0.0]",B,
AVR-Mikrocontroller in C programmieren,,Spanner,Franzis,IT,12,"[0.06366209103652569, 0.7453251871247587, 0.17561956148007088, 8.816243046188298e-06, 0.0, 0.0, 0.014767207102365398, 0.0006171370132331809]",B,
Brot zum Leben,,"De Haan, Bosch",hänssler,Religion,22,"[0.16463970209563047, 0.024660301865863803, 0.08715947655455637, 0.7235405194839494, 0.0, 0.0, 0.0, 0.0]",B,
Das Geheimnis des Feuers,,Henning Mankel,Oetinger,Jugend,21,"[0.006069598057728621, 0.2429255462638252, 0.7425006743997842, 0.00849743728082007, 6.74399784192069e-06, 0.0, 0.0, 0.0]",B,
Das große Tafelwerk interaktiv,Formelsammlung für die Sekundarstufen I und II,,Cornelsen,Schule,12,"[0.0002768747097281269, 0.18861419742059948, 0.07548140473723697, 0.008645636097316995, 1.6076596048729948e-05, 0.002890214711871673, 0.7240630917080491, 1.2504019149012182e-05]",B,
Das Haus der Krokodile,,Ballot,Georg Bitter Verlag,Krimi,19,"[0.2173725633003114, 0.13370541852151877, 0.0018876758548421859, 0.004080055292552598, 0.5190737011080806, 0.12388058592269448, 0.0, 0.0]",B,
Das kleine alte Auto,,Breuer-Weber,Fischer,Kinder,12,"[0.37371340523882896, 0.3563020030816641, 0.09044684129429892, 0.10628659476117103, 0.022742681047765792, 0.050138674884437594, 0.0003697996918335901, 0.0]",B,
Der achte Schöpfungstag,,Thornton Wilder,S. Fischer Verlag,Roman,33,"[0.0503210919211687, 0.9076782487867774, 0.0419797956194633, 2.0863672590558772e-05, 0.0, 0.0, 0.0, 0.0]",B,
Der Adler ist gelandet,,Jack Higgins,Pavillon,Roman,29,"[0.0007942469912515454, 0.040577022395417627, 0.0016863076513764339, 0.0, 0.0, 0.046422367247288605, 0.9103048656431444, 0.00021519007152135468]",B,
Der Dschunken Doktor,,Konsalik,Heyne,Roman,18,"[0.0057943588357213666, 0.7277912949445796, 0.028913219789132198, 0.0007839956745066234, 0.0, 0.0, 0.23671713075606018, 0.0]",B,
Der Friede im Osten,,Erik Neutsch,Mitteldeutscher Verlag Halle,,28,"[0.0, 0.08073267130370727, 0.9192673286962927, 0.0, 0.0, 0.0, 0.0, 0.0]",B,
Der Friede sah ganz anders aus,,Heilwig von der Mehden,Herder,Geschichte,9,"[0.0, 0.0010948476988647472, 0.9986835759811269, 0.0002215763200083417, 0.0, 0.0, 0.0, 0.0]",B,
Der Hengst im Moor,,P. C. Hass,Boja-Verlag,Jugend,24,"[0.06362738614022849, 0.7720086612247117, 0.15745128061099686, 0.006912672024062984, 0.0, 0.0, 0.0, 0.0]",B,
Der Knochenpoet,,Susanne Kraus,Lingen Verlag,Roman,38,"[0.07643767819678304, 0.4572058744418742, 0.4476975630749368, 0.00011028027327989671, 7.800312012480499e-05, 0.00012641884985744258, 0.018344182043143795, 0.0]",B,
Der Kurier des Zaren,,Jules Verne,Bertelsmann,,22,"[0.0007529719068180607, 0.06272988965296658, 0.0, 0.0, 0.0019990404605789223, 0.9345180979796365, 0.0, 0.0]",B,
Der lange Schlaf,,Fran Dorf,Knaur,Roman,25,"[0.0, 0.27086485984473935, 0.05907772320770075, 0.0, 0.0, 0.0, 0.6697678738247554, 0.0002895431228045256]",B,
